X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
395076.170000002,140525.949999999,25150466,2025/10/02 17:23:22+00,DAY,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF CONNECTICUT AVENUE NW,395076.17,140525.95,3,3C,2.0,204.0,Cluster 15,000600 2,600.0,Precinct 27,38.9326022063,-77.0567888198,,2025/10/01 16:30:00+00,2025/10/02 16:35:00+00,809903977,
397633.43,144615.420000002,25150649,2025/10/03 03:02:06+00,MIDNIGHT,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,397633.43,144615.42,4,4A,4.0,402.0,Cluster 17,001804 2,1804.0,Precinct 61,38.9694518736,-77.027308864,,2025/10/02 22:54:00+00,2025/10/02 23:23:00+00,809903978,
398098.960000001,137070.449999999,25150644,2025/10/03 00:16:50+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,900 - 979 BLOCK OF 7TH STREET NW,398098.96,137070.45,2,2C,1.0,101.0,Cluster 8,005802 5,5802.0,Precinct 129,38.9014856611,-77.0219160124,DOWNTOWN,2025/10/02 23:00:00+00,2025/10/03 00:02:00+00,809903980,
400691.930799998,130446.7795,25150262,2025/10/02 05:58:55+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3300 - 3399 BLOCK OF 10TH PLACE SE,400691.930814595,130446.779478485,8,8C,7.0,705.0,Cluster 39,007304 2,7304.0,Precinct 120,38.8418187534,-76.9920297887,,2025/10/02 03:43:00+00,,809904051,
397694.829999998,146283.34,25150637,2025/10/02 23:42:37+00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4.0,401.0,Cluster 16,001600 1,1600.0,Precinct 62,38.9844770368,-77.0266059526,,2025/10/02 22:14:00+00,2025/10/02 23:00:00+00,809904052,
402061.0,135138.0,25146957,2025/09/26 10:30:07+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1900 BLOCK OF D STREET SE,402061.0,135138.0,7,7F,1.0,107.0,Cluster 26,006804 1,6804.0,Precinct 80,38.8840770766,-76.9762456966,,2025/09/26 01:17:00+00,2025/09/26 01:20:00+00,809904056,
397764.229999997,134794.960000001,25150266,2025/10/02 05:29:52+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,900 - 1199 BLOCK OF MAINE AVENUE SW,397764.23,134794.96,6,6D,1.0,103.0,Cluster 9,010202 5,10202.0,Precinct 142,38.8809864129,-77.02576752,SOUTHWEST,2025/10/02 03:27:00+00,2025/10/02 05:15:00+00,809904057,
398813.850000001,133394.870000001,25424255,2025/10/02 10:03:59+00,MIDNIGHT,OTHERS,THEFT/OTHER,1700 - 1899 BLOCK OF 2ND STREET SW,398813.85,133394.87,6,6D,,,Cluster 9,006400 2,6400.0,Precinct 127,38.8683758869,-77.0136681067,,2025/10/01 15:00:00+00,2025/10/01 15:15:00+00,809904058,
404600.899899997,136168.3774,25150498,2025/10/02 18:33:12+00,DAY,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.899906223,136168.377435795,7,7F,6.0,603.0,Cluster 32,009603 2,9603.0,Precinct 102,38.8933494806,-76.9469648801,,2025/10/02 17:54:00+00,2025/10/02 18:30:00+00,809904059,
394608.450000003,138125.579999998,25150360,2025/10/02 13:13:53+00,DAY,OTHERS,THEFT F/AUTO,1600 - 1642 BLOCK OF 31ST STREET NW,394608.45,138125.58,2,2E,2.0,206.0,Cluster 4,000102 1,102.0,Precinct 5,38.9109761585,-77.0621643981,,2025/09/30 17:40:00+00,2025/09/30 18:00:00+00,809904060,
398628.200000003,138737.460000001,25424261,2025/10/02 11:04:02+00,DAY,OTHERS,THEFT/OTHER,1900 - 1923 BLOCK OF 3RD STREET NW,398628.2,138737.46,1,1B,3.0,306.0,Cluster 3,003400 1,3400.0,Precinct 20,38.9165036454,-77.0158180346,,2025/10/01 17:00:00+00,2025/10/01 20:00:00+00,809904061,
397835.859999999,136718.280000001,25150352,2025/10/02 14:06:05+00,DAY,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF G STREET NW,397835.86,136718.28,2,2C,2.0,209.0,Cluster 8,005802 5,5802.0,Precinct 129,38.8983125792,-77.0249480334,DOWNTOWN,2025/10/01 11:00:00+00,2025/10/01 16:00:00+00,809904062,
396291.700000003,137710.149999999,25150323,2025/10/02 09:08:28+00,MIDNIGHT,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF N STREET NW,396291.7,137710.15,2,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 17,38.9072425365,-77.0427543399,GOLDEN TRIANGLE,2025/10/02 08:44:00+00,,809904068,
398010.310000002,138697.329999998,25150309,2025/10/02 07:43:31+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1900 - 1999 BLOCK OF 8TH STREET NW,398010.31,138697.33,1,1B,3.0,305.0,Cluster 3,004402 2,4402.0,Precinct 137,38.9161409594,-77.0229427215,,2025/10/02 06:10:00+00,2025/10/02 07:30:00+00,809904071,
